"dataset","specification","sample_size","outer_folds","model","zipcode_representation","completed_folds","n_test_n_train_ratio","rmse_mean","rmse_sample_variance","rmse_std","rmse_corrected_se","mae_mean","mae_sample_variance","mae_std","mae_corrected_se","r2_mean","r2_sample_variance","r2_std","r2_corrected_se"
"Ames Housing","Parsimonious","2930","5","OLS","Not applicable","5","0.25","0.237455290182086","0.000516595733168619","0.0227287424458244","0.0152469039455844","0.166787041769944","8.2251079386531E-05","0.00906923808191907","0.00608382985659025","0.658500797341173","0.00373387885691145","0.061105473215674","0.0409907975722619"
"Ames Housing","Parsimonious","2930","5","Ridge","Not applicable","5","0.25","0.23745003443458","0.000508418621725249","0.0225481400945898","0.0151257522053074","0.166744279973482","8.17430357061426E-05","0.00904118552547964","0.00606501162964789","0.658551585152166","0.00366766309161505","0.0605612342312725","0.0406257109627237"
"Ames Housing","Parsimonious","2930","5","Random Forest","Not applicable","5","0.25","0.211451743923572","0.000195545180717315","0.0139837470199269","0.00938058267501501","0.148038135175095","3.59463980048121E-05","0.0059955315031123","0.00402192480066018","0.730115336992153","0.00102480628128729","0.032012595666195","0.0214747020137482"
"Ames Housing","Parsimonious","2930","5","XGBoost","Not applicable","5","0.25","0.209522797184396","0.000143666343500231","0.0119860895833558","0.00804051332783572","0.148970109625864","3.33477259771693E-05","0.00577474899689755","0.00387381939301849","0.735211608177517","0.000695062219019087","0.0263640326774772","0.0176855307683595"
"Ames Housing","Parsimonious","2930","5","TabPFN","Not applicable","5","0.25","0.201965296120429","0.000265508125623788","0.0162944200763264","0.0109306292833809","0.139957219003595","3.80990664367403E-05","0.00617244412179975","0.00414060139309897","0.753402159089258","0.00133251360590567","0.0365036108611966","0.0244873665929506"
"Ames Housing","Extended","1000","5","OLS","Not applicable","5","0.25","0.151977794595252","0.0017494797896226","0.0418267831613022","0.0280582591286446","0.100641242387743","2.9084066316234E-05","0.00539296452020909","0.00361771058022962","0.855457725484531","0.00638420901367184","0.0799012453824835","0.0535993848486373"
"Ames Housing","Extended","1000","5","Ridge","Not applicable","5","0.25","0.149649294896811","0.00194450566555452","0.044096549361084","0.0295808645833676","0.0972781659634319","3.58130242598856E-05","0.00598439840417445","0.0040144564908526","0.858826509080168","0.00706602843259275","0.0840596718563233","0.0563889421311195"
"Ames Housing","Extended","1000","5","Random Forest","Not applicable","5","0.25","0.161852858405712","0.000619246821575599","0.0248846704132403","0.0166931443925049","0.106250463591584","6.31129577852558E-05","0.00794436641811389","0.00532924300472075","0.841801554900978","0.00172741665870939","0.0415622022841594","0.0278807728805932"
"Ames Housing","Extended","1000","5","XGBoost","Not applicable","5","0.25","0.143655713836723","0.000733236339942126","0.027078337097062","0.0181647007400055","0.0948508120153072","1.72762123031637E-05","0.0041564663240743","0.00278824237404564","0.873852043209188","0.00209087982915227","0.0457261394516558","0.0306740268487612"
"Ames Housing","Extended","1000","5","TabPFN","Not applicable","5","0.25","0.131239710470966","0.00116087239512241","0.0340715775261787","0.0228559090347569","0.0833361326818726","4.21212231487841E-05","0.00649008652860531","0.00435368239734513","0.892448295728454","0.0031104388150343","0.0557713081703693","0.0374125308789106"
